run_name,seed,privacy_mode,mechanism,epsilon,delta,Tmax,D,K,clipping_bound_pp,sensitivity_day_pp,sensitivity_l2_pp,sigma_pp,smoothing_window,window_start,window_end,train_start,train_end,test_start,test_end,MSE,RMSE,MAE,MAPE,seed_dir
public_opentable_dp_gaussian_event_eps2_w7_matched_ot,2,event,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.5429515379873463,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,30341.359822606835,174.1877143274084,170.1937986101423,51.475319048292064,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_event_eps4_w7_matched_ot,2,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.27147576899367315,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,34784.83928638326,186.50694165736368,182.319157736642,55.138047012081536,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_event_eps8_w7_matched_ot,2,event,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.13573788449683657,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4012.199228465532,63.341923150986915,52.662410736083984,14.880323831992023,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_event_eps16_w7_matched_ot,2,event,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.06786894224841829,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,13607.776572211687,116.65237491029356,104.33738218035016,30.15198153018498,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,2,restaurant,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,13.69271678577325,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,26928.775245989033,164.0998941071841,156.80420303344727,46.72027238605519,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,2,restaurant,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,6.846358392886625,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,38907.8111695121,197.2506303399614,194.1816692352295,59.09527970963096,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_restaurant_eps4_w7_matched_ot,2,restaurant,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,3.4231791964433125,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4416.623130529354,66.45767924423298,53.08039311000279,18.342229511838454,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_restaurant_eps8_w7_matched_ot,2,restaurant,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,1.7115895982216562,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,6803.8925649478915,82.48571127745636,68.48943383353097,19.26258596830095,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_opentable_dp_gaussian_restaurant_eps16_w7_matched_ot,2,restaurant,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,0.8557947991108281,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,1093.914722825334,33.0743816695843,27.839510236467635,8.919235210018346,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_2
public_only_adapter_w7_matched_ot,3,none,none,,,,,,,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,21747.531128920673,147.47044154311288,139.12907682146346,41.17715182083968,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_adapter_w7_matched_ot,3,none,none,,,,,159.0,100.0,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7321.875454413971,85.56795810590533,68.42233167375836,19.044718216710788,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_event_eps1_w7_matched_ot,3,event,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,1.0859030759746926,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,12450.907599504713,111.58363499861758,97.22412272862026,27.809046999126814,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_event_eps2_w7_matched_ot,3,event,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.5429515379873463,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,25490.54120794544,159.65757485301296,140.82063947405135,47.420040660876914,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_event_eps4_w7_matched_ot,3,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.27147576899367315,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,18787.328607060215,137.06687640367463,114.38112967354911,39.19577345151393,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_event_eps8_w7_matched_ot,3,event,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.13573788449683657,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,10766.99166042208,103.76411547554424,90.41808319091797,25.867836556224045,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_event_eps16_w7_matched_ot,3,event,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.06786894224841829,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,15638.677639697778,125.05469859104767,113.86076354980469,33.1499243620122,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,3,restaurant,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,13.69271678577325,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,1034.4173046810486,32.16235850619554,28.316385541643417,9.16514031357223,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,3,restaurant,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,6.846358392886625,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,5372.238021216189,73.29555253367143,60.624183654785156,17.095638357811378,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_restaurant_eps4_w7_matched_ot,3,restaurant,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,3.4231791964433125,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7599.852074593272,87.17713045629152,68.94746725899833,23.985086728482283,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_restaurant_eps8_w7_matched_ot,3,restaurant,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,1.7115895982216562,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,1104.1300478285577,33.22845238389169,30.671951293945312,9.666200050414167,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_opentable_dp_gaussian_restaurant_eps16_w7_matched_ot,3,restaurant,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,0.8557947991108281,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,6197.994669920116,78.72734385154955,69.5062986101423,20.501110946654588,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_3
public_only_adapter_w7_matched_ot,4,none,none,,,,,,,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7304.851276810281,85.46842268820855,75.40861293247768,25.094998532678947,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_adapter_w7_matched_ot,4,none,none,,,,,159.0,100.0,,,,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,9014.656142486692,94.94554303645165,71.03123583112445,25.082376643593022,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_event_eps1_w7_matched_ot,4,event,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,1.0859030759746926,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,26847.186660234194,163.85111125724535,159.3927116394043,48.04763865991027,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_event_eps2_w7_matched_ot,4,event,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.5429515379873463,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,15661.421241569731,125.14560016864249,116.24695696149554,38.44200866004685,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_event_eps4_w7_matched_ot,4,event,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.27147576899367315,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,17081.987159789973,130.69807634311215,127.86750139508929,38.99111294228984,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_event_eps8_w7_matched_ot,4,event,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.13573788449683657,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,13833.147478061097,117.61440166094073,105.36642347063336,35.335148951670064,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_event_eps16_w7_matched_ot,4,event,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,0.25,0.06786894224841829,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,6912.363070350706,83.14062226343212,76.18678174700055,25.115581618001,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,4,restaurant,gaussian,1.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,13.69271678577325,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2366.4290916635655,48.64595658082556,41.60843549455915,14.044911124364754,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,4,restaurant,gaussian,2.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,6.846358392886625,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,19414.209739258047,139.33488342571664,127.7981948852539,37.32252499705667,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_restaurant_eps4_w7_matched_ot,4,restaurant,gaussian,4.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,3.4231791964433125,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,1202.2284987594799,34.67316684064898,31.728766305106028,10.20112890482413,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_restaurant_eps8_w7_matched_ot,4,restaurant,gaussian,8.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,1.7115895982216562,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,4611.212352827158,67.90590808484309,56.59530094691685,16.046101135189815,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
public_opentable_dp_gaussian_restaurant_eps16_w7_matched_ot,4,restaurant,gaussian,16.0,0.0001,200.0,80000.0,159.0,100.0,0.25,3.152380053229623,0.8557947991108281,7,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,22993.925653158978,151.63748103011662,144.93159539358956,43.19826213756592,outputs/nyc/2020-08-05/run_groups/dp_multiseed_20260417_223607/seed_4
