date,trend_covid_topic
2020-11-09,28.968124898357456
2020-11-10,28.968124898357456
2020-11-11,32.991475578684884
2020-11-12,31.382135306553916
2020-11-13,37.01482625901231
2020-11-14,33.79614571475037
2020-11-15,34.520348837209305
2020-11-16,40.79677589852009
2020-11-17,41.31981148696266
2020-11-18,41.31981148696266
2020-11-19,37.13552677942213
2020-11-20,39.75070472163495
2020-11-21,38.181597956307264
2020-11-22,36.089455602537
2020-11-23,40.79677589852009
2020-11-24,37.13552677942213
2020-11-25,32.95124207188161
2020-11-26,23.01356589147287
2020-11-27,24.582672656800565
2020-11-28,28.76695736434109
2020-11-29,27.19785059901339
2020-11-30,30.336064129668785
2020-12-01,31.382135306553916
2020-12-02,29.28999295278365
2020-12-03,29.28999295278365
2020-12-04,31.905170894996477
2020-12-05,28.76695736434109
2020-12-06,29.28999295278365
2020-12-07,32.95124207188161
2020-12-08,32.42820648343904
2020-12-09,33.47427766032418
2020-12-10,30.336064129668785
2020-12-11,32.42820648343904
2020-12-12,29.28999295278365
2020-12-13,27.720886187455957
2020-12-14,31.905170894996477
2020-12-15,30.336064129668785
2020-12-16,25.628743833685697
2020-12-17,23.536601479915433
2020-12-18,29.813028541226217
2020-12-19,30.85909971811135
2020-12-20,33.47427766032418
2020-12-21,40.79677589852009
2020-12-22,37.13552677942213
2020-12-23,33.99731324876674
2020-12-24,25.628743833685697
2020-12-25,23.01356589147287
2020-12-26,28.76695736434109
2020-12-27,31.382135306553916
2020-12-28,37.13552677942213
2020-12-29,36.61249119097956
2020-12-30,38.704633544749825
2020-12-31,35.043384425651865
2021-01-01,29.813028541226217
2021-01-02,32.95124207188161
2021-01-03,34.520348837209305
2021-01-04,39.75070472163495
2021-01-05,40.79677589852009
2021-01-06,34.520348837209305
2021-01-07,29.813028541226217
2021-01-08,33.47427766032418
2021-01-09,32.42820648343904
2021-01-10,37.6585623678647
2021-01-11,46.02713178294574
2021-01-12,50.21141649048626
2021-01-13,50.734452078928825
2021-01-14,52.30355884425653
2021-01-15,43.93498942917548
2021-01-16,41.31981148696266
2021-01-17,37.6585623678647
2021-01-18,42.888918252290345
2021-01-19,43.93498942917548
2021-01-20,35.043384425651865
2021-01-21,35.043384425651865
2021-01-22,36.089455602537
2021-01-23,35.56642001409443
2021-01-24,34.520348837209305
2021-01-25,39.75070472163495
2021-01-26,37.13552677942213
2021-01-27,32.42820648343904
2021-01-28,36.61249119097956
2021-01-29,35.043384425651865
2021-01-30,34.520348837209305
2021-01-31,28.76695736434109
2021-02-01,23.61918604651163
2021-02-02,27.25290697674419
2021-02-03,32.09786821705426
2021-02-04,33.91472868217054
2021-02-05,35.731589147286826
2021-02-06,35.12596899224806
2021-02-07,27.25290697674419
2021-02-08,34.520348837209305
2021-02-09,39.970930232558146
2021-02-10,32.70348837209303
2021-02-11,43.604651162790695
2021-02-12,38.759689922480625
2021-02-13,30.886627906976745
2021-02-14,33.91472868217054
2021-02-15,41.18217054263566
2021-02-16,38.759689922480625
2021-02-17,34.520348837209305
2021-02-18,31.492248062015506
2021-02-19,30.886627906976745
2021-02-20,31.492248062015506
2021-02-21,30.886627906976745
2021-02-22,36.33720930232558
2021-02-23,36.33720930232558
2021-02-24,33.91472868217054
2021-02-25,38.15406976744186
2021-02-26,38.15406976744186
2021-02-27,39.36531007751938
2021-02-28,38.15406976744186
2021-03-01,39.970930232558146
2021-03-02,39.970930232558146
2021-03-03,33.309108527131784
2021-03-04,39.36531007751938
2021-03-05,38.15406976744186
2021-03-06,40.576550387596896
