cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
338.0,338.0,91.0,14.0,-24.4,-20.0,52.2,-19.2,-18.2,0.4,6.756356356356356
574.0,574.0,144.0,4.0,-24.4,-16.0,18.4,-31.4,-40.8,8.2,8.016016016016017
463.0,463.0,138.0,14.0,-22.8,-14.0,22.0,-29.4,-38.4,7.2,7.557957957957958
473.0,473.0,100.0,12.0,-20.6,-13.4,24.8,-29.6,-38.6,6.0,8.130530530530532
451.0,451.0,110.0,11.0,-18.4,-9.4,30.2,-28.2,-39.2,5.2,6.412812812812814
378.0,378.0,117.0,12.0,-22.2,-11.0,21.6,-31.4,-41.0,6.0,6.5273273273273285
1235.0,308.0,85.0,9.0,-22.0,-15.0,60.8,-17.6,-20.8,-1.8,6.412812812812814
1290.0,330.0,78.0,18.0,-21.8,-19.4,60.6,-16.8,-19.2,-2.2,6.412812812812814
1311.0,318.0,92.0,10.0,-26.8,-23.2,21.6,-49.8,-71.0,15.2,7.214414414414416
476.0,476.0,117.0,8.0,-32.2,-21.8,-31.0,-33.6,-40.6,8.4,6.985385385385387
427.0,427.0,103.0,11.0,-18.8,-6.8,4.4,-27.8,-36.4,5.8,7.214414414414416
412.0,412.0,108.0,13.0,-18.4,-5.8,23.4,-23.0,-36.4,4.0,7.6724724724724735
374.0,374.0,99.0,12.0,-23.0,-11.4,19.4,-25.2,-36.2,4.4,6.870870870870872
338.0,338.0,90.0,9.0,-20.8,-13.0,63.8,-14.4,-16.0,-0.8,6.298298298298299
1248.0,303.0,96.0,10.0,-26.8,-19.6,1.2,-22.6,-16.8,2.2,5.954754754754756
518.0,518.0,114.0,9.0,-23.2,-11.6,4.0,-24.4,-36.0,5.0,7.214414414414416
453.0,453.0,124.0,13.0,-22.8,-10.8,10.4,-22.0,-35.0,4.6,7.214414414414416
