cases_raw,cases,pub_0,pub_1,pub_2,pub_3,pub_4,pub_5,pub_6,pub_7,pub_8,pub_9
2947.0,3197.6666666666665,632.0,153.0,9.0,-22.6,-10.2,14.4,-30.6,-36.6,6.2,8.130530530530532
2601.0,2938.3333333333335,584.0,144.0,12.0,-25.0,-12.4,17.0,-31.2,-38.4,6.0,8.130530530530532
1721.0,2423.0,426.0,93.0,15.0,-24.6,-14.8,69.2,-18.4,-18.0,-1.4,7.32892892892893
1751.0,2024.3333333333333,420.0,108.0,14.0,-24.6,-18.4,65.4,-18.2,-18.4,-0.6,7.557957957957958
3316.0,2262.6666666666665,636.0,145.0,12.0,-23.0,-14.4,14.6,-32.6,-39.6,9.2,7.901501501501504
2965.0,2677.3333333333335,586.0,141.0,14.0,-21.2,-12.0,23.2,-29.8,-37.4,8.4,8.817617617617618
2763.0,3014.6666666666665,554.0,144.0,19.0,-22.0,-13.8,13.6,-30.8,-37.4,9.0,8.130530530530532
2647.0,2791.6666666666665,536.0,128.0,15.0,-20.4,-10.8,22.8,-29.4,-38.2,8.8,7.901501501501504
2459.0,2623.0,524.0,123.0,10.0,-24.8,-13.8,16.4,-31.0,-39.6,9.0,7.443443443443444
1670.0,2258.6666666666665,406.0,109.0,21.0,-25.4,-16.8,59.6,-17.2,-18.4,0.6,8.130530530530532
1689.0,1939.3333333333333,423.0,102.0,14.0,-24.2,-19.2,53.4,-18.4,-18.0,0.4,7.443443443443444
2886.0,2081.6666666666665,596.0,147.0,16.0,-28.2,-19.8,-14.4,-35.2,-42.0,11.6,7.32892892892893
2587.0,2387.3333333333335,538.0,128.0,11.0,-21.0,-12.0,20.8,-29.8,-39.0,9.0,7.32892892892893
2445.0,2639.3333333333335,531.0,140.0,16.0,-21.6,-13.2,26.0,-30.4,-38.6,8.6,7.557957957957958
2330.0,2454.0,475.0,123.0,12.0,-21.8,-11.8,25.2,-29.6,-39.0,8.2,7.214414414414416
2095.0,2290.0,400.0,133.0,18.0,-28.2,-16.0,1.4,-32.8,-40.4,9.6,6.985385385385387
1423.0,1949.3333333333333,305.0,106.0,13.0,-25.2,-16.6,62.6,-18.4,-18.0,0.4,6.641841841841842
1454.0,1657.3333333333333,338.0,91.0,14.0,-24.4,-20.0,52.2,-19.2,-18.2,0.4,6.756356356356356
2761.0,1879.3333333333333,574.0,144.0,4.0,-24.4,-16.0,18.4,-31.4,-40.8,8.2,8.016016016016017
2322.0,2179.0,463.0,138.0,14.0,-22.8,-14.0,22.0,-29.4,-38.4,7.2,7.557957957957958
2311.0,2464.6666666666665,473.0,100.0,12.0,-20.6,-13.4,24.8,-29.6,-38.6,6.0,8.130530530530532
2110.0,2247.6666666666665,451.0,110.0,11.0,-18.4,-9.4,30.2,-28.2,-39.2,5.2,6.412812812812814
1861.0,2094.0,378.0,117.0,12.0,-22.2,-11.0,21.6,-31.4,-41.0,6.0,6.5273273273273285
1235.0,1735.3333333333333,308.0,85.0,9.0,-22.0,-15.0,60.8,-17.6,-20.8,-1.8,6.412812812812814
1290.0,1462.0,330.0,78.0,18.0,-21.8,-19.4,60.6,-16.8,-19.2,-2.2,6.412812812812814
1311.0,1278.6666666666667,318.0,92.0,10.0,-26.8,-23.2,21.6,-49.8,-71.0,15.2,7.214414414414416
2518.0,1706.3333333333333,476.0,117.0,8.0,-32.2,-21.8,-31.0,-33.6,-40.6,8.4,6.985385385385387
2229.0,2019.3333333333333,427.0,103.0,11.0,-18.8,-6.8,4.4,-27.8,-36.4,5.8,7.214414414414416
2050.0,2265.6666666666665,412.0,108.0,13.0,-18.4,-5.8,23.4,-23.0,-36.4,4.0,7.6724724724724735
1886.0,2055.0,374.0,99.0,12.0,-23.0,-11.4,19.4,-25.2,-36.2,4.4,6.870870870870872
1362.0,1766.0,338.0,90.0,9.0,-20.8,-13.0,63.8,-14.4,-16.0,-0.8,6.298298298298299
1248.0,1498.6666666666667,303.0,96.0,10.0,-26.8,-19.6,1.2,-22.6,-16.8,2.2,5.954754754754756
2586.0,1732.0,518.0,114.0,9.0,-23.2,-11.6,4.0,-24.4,-36.0,5.0,7.214414414414416
2183.0,2005.6666666666667,453.0,124.0,13.0,-22.8,-10.8,10.4,-22.0,-35.0,4.6,7.214414414414416
2312.0,2360.3333333333335,489.0,118.0,9.0,-20.2,-9.0,17.6,-23.2,-34.2,3.8,7.901501501501504
2091.0,2195.3333333333335,436.0,108.0,13.0,-19.8,-8.0,15.8,-23.2,-34.6,3.4,7.443443443443444
2024.0,2142.3333333333335,418.0,86.0,19.0,-23.4,-11.2,9.0,-25.0,-35.4,4.2,7.443443443443444
1408.0,1841.0,321.0,82.0,10.0,-21.0,-13.2,53.0,-15.8,-16.6,-1.2,6.870870870870872
